data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-02-24,2021-06-30,consistent,2,4997
2021-02-23,2021-06-30,inconsistent,0,19
2021-02-23,2021-06-30,consistent,2,5356
2021-02-22,2021-06-30,inconsistent,0,30
2021-02-22,2021-06-30,consistent,2,5213
2021-02-21,2021-06-30,consistent,2,633
2021-02-20,2021-06-30,inconsistent,0,11
2021-02-20,2021-06-30,consistent,2,3599
2021-02-19,2021-06-30,inconsistent,0,20
2021-02-19,2021-06-30,consistent,2,6155
2021-02-18,2021-06-30,inconsistent,0,61
2021-02-18,2021-06-30,consistent,2,7058
2021-02-17,2021-06-30,inconsistent,0,213
2021-02-17,2021-06-30,consistent,2,8624
2021-02-16,2021-06-30,inconsistent,0,24
2021-02-16,2021-06-30,consistent,2,6023
2021-02-15,2021-06-30,inconsistent,0,166
2021-02-15,2021-06-30,consistent,2,7151
2021-02-14,2021-06-30,inconsistent,0,9
2021-02-14,2021-06-30,consistent,2,1542
2021-02-13,2021-06-30,inconsistent,0,10
2021-02-13,2021-06-30,consistent,1,4443
2021-02-12,2021-06-30,inconsistent,0,174
2021-02-12,2021-06-30,consistent,1,8290
2021-02-11,2021-06-30,inconsistent,0,51
2021-02-11,2021-06-30,consistent,2,8842
2021-02-10,2021-06-30,inconsistent,0,82
2021-02-10,2021-06-30,consistent,2,12940
2021-02-09,2021-06-30,inconsistent,0,61
2021-02-09,2021-06-30,consistent,3,18697
2021-02-08,2021-06-30,inconsistent,0,54
2021-02-08,2021-06-30,consistent,3,17405
2021-02-07,2021-06-30,inconsistent,0,2
2021-02-07,2021-06-30,consistent,0,557
2021-02-06,2021-06-30,inconsistent,0,8
2021-02-06,2021-06-30,consistent,1,3350
2021-02-05,2021-06-30,inconsistent,0,65
2021-02-05,2021-06-30,consistent,1,8458
2021-02-04,2021-06-30,inconsistent,0,198
2021-02-04,2021-06-30,consistent,1,9372
2021-02-03,2021-06-30,inconsistent,0,315
2021-02-03,2021-06-30,consistent,2,14401
2021-02-02,2021-06-30,inconsistent,0,66
2021-02-02,2021-06-30,consistent,2,14394
2021-02-01,2021-06-30,inconsistent,0,180
2021-02-01,2021-06-30,consistent,2,10775
2021-01-31,2021-06-30,inconsistent,0,2
2021-01-31,2021-06-30,consistent,1,7573
2021-01-30,2021-06-30,inconsistent,0,94
2021-01-30,2021-06-30,consistent,1,7385
2021-01-29,2021-06-30,inconsistent,0,99
2021-01-29,2021-06-30,consistent,2,8597
2021-01-28,2021-06-30,inconsistent,0,75
2021-01-28,2021-06-30,consistent,1,5897
2021-01-27,2021-06-30,inconsistent,0,195
2021-01-27,2021-06-30,consistent,1,7347
2021-01-26,2021-06-30,inconsistent,0,22
2021-01-26,2021-06-30,consistent,1,5984
2021-01-25,2021-06-30,inconsistent,0,27
2021-01-25,2021-06-30,consistent,2,8094
2021-01-24,2021-06-30,inconsistent,0,62
2021-01-24,2021-06-30,consistent,1,3449
2021-01-23,2021-06-30,inconsistent,0,106
2021-01-23,2021-06-30,consistent,1,5878
2021-01-22,2021-06-30,inconsistent,0,245
2021-01-22,2021-06-30,consistent,1,5822
2021-01-21,2021-06-30,inconsistent,0,72
2021-01-21,2021-06-30,consistent,1,5482
2021-01-20,2021-06-30,inconsistent,0,62
2021-01-20,2021-06-30,consistent,2,7966
2021-01-19,2021-06-30,inconsistent,0,148
2021-01-19,2021-06-30,consistent,0,1635
2021-01-18,2021-06-30,consistent,0,9
2021-01-17,2021-06-30,consistent,0,15
2021-01-01,2021-06-30,wrong_date,0,1
2020-03-23,2021-06-30,wrong_date,0,3
