data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-02-04,2021-06-30,consistent,1,3886
2021-02-03,2021-06-30,inconsistent,0,236
2021-02-03,2021-06-30,consistent,1,4294
2021-02-02,2021-06-30,inconsistent,0,230
2021-02-02,2021-06-30,consistent,1,3877
2021-02-01,2021-06-30,inconsistent,0,26
2021-02-01,2021-06-30,consistent,1,4181
2021-01-31,2021-06-30,consistent,0,767
2021-01-30,2021-06-30,inconsistent,0,12
2021-01-30,2021-06-30,consistent,1,2493
2021-01-29,2021-06-30,inconsistent,0,58
2021-01-29,2021-06-30,consistent,2,5547
2021-01-28,2021-06-30,inconsistent,0,48
2021-01-28,2021-06-30,consistent,1,6254
2021-01-27,2021-06-30,inconsistent,0,50
2021-01-27,2021-06-30,consistent,1,6717
2021-01-26,2021-06-30,inconsistent,0,102
2021-01-26,2021-06-30,consistent,1,7964
2021-01-25,2021-06-30,inconsistent,0,100
2021-01-25,2021-06-30,consistent,1,4625
2021-01-24,2021-06-30,inconsistent,0,2
2021-01-24,2021-06-30,consistent,1,2710
2021-01-23,2021-06-30,inconsistent,0,48
2021-01-23,2021-06-30,consistent,1,2813
2021-01-22,2021-06-30,inconsistent,0,172
2021-01-22,2021-06-30,consistent,1,6401
2021-01-21,2021-06-30,inconsistent,0,58
2021-01-21,2021-06-30,consistent,1,6950
2021-01-20,2021-06-30,inconsistent,0,90
2021-01-20,2021-06-30,consistent,2,6645
2021-01-19,2021-06-30,inconsistent,0,88
2021-01-19,2021-06-30,consistent,1,4098
2021-01-18,2021-06-30,inconsistent,0,4
2021-01-18,2021-06-30,consistent,0,19
2021-01-17,2021-06-30,consistent,0,7
2020-03-23,2021-06-30,wrong_date,1,8
