data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-01-21,2021-06-30,consistent,2,9386
2021-01-20,2021-06-30,inconsistent,0,263
2021-01-20,2021-06-30,consistent,4,9626
2021-01-19,2021-06-30,inconsistent,0,264
2021-01-19,2021-06-30,consistent,1,3860
2021-01-18,2021-06-30,inconsistent,0,2
2021-01-18,2021-06-30,consistent,0,119
2021-01-17,2021-06-30,inconsistent,0,2
2021-01-17,2021-06-30,consistent,0,14
2021-01-16,2021-06-30,wrong_date,0,2
2021-01-15,2021-06-30,wrong_date,0,1
2021-01-12,2021-06-30,wrong_date,0,1
2021-01-12,2021-06-30,inconsistent,0,6
2021-01-04,2021-06-30,wrong_date,1,18
2021-01-01,2021-06-30,wrong_date,1,28
2020-03-23,2021-06-30,wrong_date,2,12933
2020-03-23,2021-06-30,inconsistent,0,4
2018-02-11,2021-06-30,wrong_date,2,1
