data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-03-15,2021-07-01,consistent,2,4336
2021-03-14,2021-07-01,inconsistent,0,2
2021-03-14,2021-07-01,consistent,2,580
2021-03-13,2021-06-30,inconsistent,0,6
2021-03-13,2021-06-30,consistent,2,1923
2021-03-12,2021-06-30,inconsistent,0,64
2021-03-12,2021-06-30,consistent,2,5761
2021-03-11,2021-06-30,inconsistent,0,32
2021-03-11,2021-06-30,consistent,2,6591
2021-03-10,2021-06-30,inconsistent,0,32
2021-03-10,2021-06-30,consistent,2,4442
2021-03-09,2021-06-30,inconsistent,0,58
2021-03-09,2021-06-30,consistent,2,4330
2021-03-08,2021-06-30,inconsistent,0,31
2021-03-08,2021-06-30,consistent,2,4193
2021-03-07,2021-06-30,inconsistent,0,12
2021-03-07,2021-06-30,consistent,1,90
2021-03-06,2021-06-30,inconsistent,0,22
2021-03-06,2021-06-30,consistent,2,661
2021-03-05,2021-06-30,inconsistent,0,70
2021-03-05,2021-06-30,consistent,2,4999
2021-03-04,2021-06-30,inconsistent,0,74
2021-03-04,2021-06-30,consistent,3,5775
2021-03-03,2021-06-30,inconsistent,0,70
2021-03-03,2021-06-30,consistent,2,5945
2021-03-02,2021-06-30,inconsistent,0,70
2021-03-02,2021-06-30,consistent,2,5938
2021-03-01,2021-06-30,inconsistent,0,64
2021-03-01,2021-06-30,consistent,2,5165
2021-02-28,2021-06-30,inconsistent,0,2
2021-02-28,2021-06-30,consistent,1,40
2021-02-27,2021-06-30,inconsistent,0,12
2021-02-27,2021-06-30,consistent,1,117
2021-02-26,2021-06-30,inconsistent,0,10
2021-02-26,2021-06-30,consistent,2,3525
2021-02-25,2021-06-30,inconsistent,0,16
2021-02-25,2021-06-30,consistent,2,3882
2021-02-24,2021-06-30,inconsistent,0,22
2021-02-24,2021-06-30,consistent,2,3417
2021-02-23,2021-06-30,inconsistent,0,129
2021-02-23,2021-06-30,consistent,2,4384
2021-02-22,2021-06-30,inconsistent,0,142
2021-02-22,2021-06-30,consistent,2,5051
2021-02-21,2021-06-30,consistent,2,72
2021-02-20,2021-06-30,consistent,2,219
2021-02-19,2021-06-30,inconsistent,0,40
2021-02-19,2021-06-30,consistent,2,5813
2021-02-18,2021-06-30,inconsistent,0,48
2021-02-18,2021-06-30,consistent,3,7505
2021-02-17,2021-06-30,inconsistent,0,16
2021-02-17,2021-06-30,consistent,2,1230
2021-02-16,2021-06-30,inconsistent,0,14
2021-02-16,2021-06-30,consistent,2,913
2021-02-15,2021-06-30,inconsistent,0,18
2021-02-15,2021-06-30,consistent,2,826
2021-02-14,2021-06-30,inconsistent,0,7
2021-02-14,2021-06-30,consistent,1,187
2021-02-13,2021-06-30,inconsistent,0,12
2021-02-13,2021-06-30,consistent,0,1409
2021-02-12,2021-06-30,inconsistent,0,56
2021-02-12,2021-06-30,consistent,2,6294
2021-02-11,2021-06-30,inconsistent,0,60
2021-02-11,2021-06-30,consistent,2,5539
2021-02-10,2021-06-30,inconsistent,0,52
2021-02-10,2021-06-30,consistent,1,3760
2021-02-09,2021-06-30,inconsistent,0,54
2021-02-09,2021-06-30,consistent,2,2641
2021-02-08,2021-06-30,inconsistent,0,32
2021-02-08,2021-06-30,consistent,1,2263
2021-02-07,2021-06-30,consistent,0,68
2021-02-06,2021-06-30,inconsistent,0,38
2021-02-06,2021-06-30,consistent,0,154
2021-02-05,2021-06-30,inconsistent,0,48
2021-02-05,2021-06-30,consistent,1,2997
2021-02-04,2021-06-30,inconsistent,0,89
2021-02-04,2021-06-30,consistent,1,4578
2021-02-03,2021-06-30,inconsistent,0,110
2021-02-03,2021-06-30,consistent,1,4931
2021-02-02,2021-06-30,inconsistent,0,26
2021-02-02,2021-06-30,consistent,1,3372
2021-02-01,2021-06-30,inconsistent,0,36
2021-02-01,2021-06-30,consistent,1,2608
2021-01-31,2021-06-30,consistent,0,510
2021-01-30,2021-06-30,inconsistent,0,2
2021-01-30,2021-06-30,consistent,0,1004
2021-01-29,2021-06-30,inconsistent,0,20
2021-01-29,2021-06-30,consistent,1,3446
2021-01-28,2021-06-30,inconsistent,0,40
2021-01-28,2021-06-30,consistent,1,5829
2021-01-27,2021-06-30,inconsistent,0,26
2021-01-27,2021-06-30,consistent,1,3958
2021-01-26,2021-06-30,inconsistent,0,48
2021-01-26,2021-06-30,consistent,1,4285
2021-01-25,2021-06-30,inconsistent,0,20
2021-01-25,2021-06-30,consistent,1,4379
2021-01-24,2021-06-30,consistent,0,183
2021-01-23,2021-06-30,inconsistent,0,12
2021-01-23,2021-06-30,consistent,1,1944
2021-01-22,2021-06-30,inconsistent,0,90
2021-01-22,2021-06-30,consistent,1,5498
2021-01-21,2021-06-30,inconsistent,0,62
2021-01-21,2021-06-30,consistent,1,4025
2021-01-20,2021-06-30,inconsistent,0,50
2021-01-20,2021-06-30,consistent,1,2200
2021-01-19,2021-06-30,inconsistent,0,4
2021-01-19,2021-06-30,consistent,0,509
2021-01-18,2021-06-30,consistent,0,9
2021-01-17,2021-06-30,consistent,0,1
2020-03-23,2021-06-30,wrong_date,1,5
